Nome da Embarcacao;Numero de Inscricao no RGP;Numero de Inscricao na Marinha do Brasil;AB;Comprimento;Propulsao;HP;Capacidade do Porao;Volume do Tanque;Tripulacao;Numero de Covos;Status;UF;Numero da Frota;Codigo IN;Petrecho;indice
MARA I;PR00085578;4210254169;1,1;7,47;Vela;;;;4;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;14410
MARA I;CE00020788;1620017466;1,5;6,15;Vela;;;;5;80;Deferida;CE;5.01.004;5.3;5. Armadilha;14411
MARA IV;SP00037269;4040077369;3,4;9;Motor;13;;30;3;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;14412
MARA IV;CE00020816;1620020882;1;6,17;Vela;;;;5;80;Deferida;CE;5.01.004;5.3;5. Armadilha;14413
MARAJA DOS MARES;RJ00085580;4030138691;7;6;Motor;10;;;1;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;14414
MARAJÁ I;RJ00118708;3877045481;;5,75;Remo;;;;1;;Deferida;RJ;6.03.001;6.6;6. Diversificada;14415
MARAJÁ II;RJ00139190;387M2012001301;0,4;6,8;Remo;;;;;;Deferida;RJ;6.03.001;6.6;6. Diversificada;14416
MARAJÁ II;ES00151356;3410236520;23,5;13,9;Motor;120;;3000;10;;Deferida;ES;1.02.001;1.3;1. Linha;14417
MARAJA III;ES00114000;3410236929;22,8;14;Motor;120;;;11;;Deferida;ES;1.02.001;1.3;1. Linha;14418
MARAJO;SC00340165;442M2014003188;1,99;4;Motor;8;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14419
MARAJO;SC00209158;442M2002004061;;4,7;Remo;;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14420
MARAJÓ;MA00237649;1210138514;5;9,16;Motor;;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14421
MARAJO I;SC00181747;4430075557;0,9;6,85;Motor;10;0,8;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14422
MARAJO II;PA00259101;210297450;34,6;14,3;;220;;;;;Deferida;PA;1.01.003;1.4;1. Linha;14423
MARAJO-III;PA00020828;210297417;19;13;Motor;220;;16000;6;;Deferida;PA;5.01.001;5.1;5. Armadilha;14424
MARAJO XVI;SP00093417;4010591641;1,52;7,9;Motor;18;;;2;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;14425
MARAJU;BA00185287;1810043654;5,5;9;Motor;3;;;1;;Deferida;BA;1.06.003;1.12;1. Linha;14426
MAR ALEM;PE00228888;2210149959;1;6;Vela;;;;2;;Deferida;PE;5.01.006;5.9;5. Armadilha;14427
